Indiv1	Indiv2	relationship type	generation depth	meioses events
1743267	23383643	full	0	4
1743267	25255729	full	-1	5
1743267	26261855	full	0	4
1743267	26704258	full	-1	5
1743267	29764558	full	0	2
1743267	31484389	full	-1	5
1743267	31601025	full	1	3
1743267	33643728	full	0	4
1743267	33710982	full	0	4
1743267	33981752	full	0	4
1743267	34900121	full	0	4
1743267	36457536	full	0	4
1743267	38267877	direct	1	1
1743267	39880877	full	0	4
1743267	40186358	full	-1	5
1743267	42309593	full	1	3
1743267	43247606	full	0	4
1743267	43894541	full	0	4
1743267	45017237	full	0	4
1743267	45536399	full	0	4
1743267	46215383	direct	2	2
1743267	48389525	full	1	3
1743267	48828987	direct	2	2
1743267	50147320	full	1	3
1743267	50324091	full	0	4
1743267	51925748	full	0	4
1743267	53306027	full	1	3
1743267	54033541	full	0	4
1743267	58075271	full	-1	5
1743267	58539330	full	1	3
1743267	62175876	full	0	4
1743267	66604406	full	0	4
1743267	71177161	full	-1	5
1743267	76066015	full	1	3
1743267	76602875	full	-1	5
1743267	78061369	full	0	4
1743267	79668033	full	0	4
1743267	79744304	full	0	4
1743267	82674919	full	1	3
1743267	82720295	full	-1	5
1743267	83040108	full	0	4
1743267	83213567	full	-1	5
1743267	83616655	full	0	4
1743267	85252368	full	1	3
2128881	4311555	full	0	4
2128881	7787507	full	1	5
2128881	8599292	full	2	4
2128881	9015648	full	2	4
2128881	10557364	full	1	5
2128881	13919739	full	1	5
2128881	15064173	full	1	3
2128881	17185590	full	1	5
2128881	20714799	full	0	4
2128881	23591163	full	1	5
2128881	23625770	full	1	3
2128881	23860559	unknown	0	2
2128881	23909602	full	1	3
2128881	24137242	full	1	5
2128881	24344968	direct	3	3
2128881	25036073	full	0	6
2128881	26555372	full	1	5
2128881	29689879	full	2	4
2128881	29745672	full	1	5
2128881	31977120	full	1	5
2128881	38743500	full	0	6
2128881	41078192	full	0	6
2128881	44235976	full	0	6
2128881	47702028	full	0	6
2128881	49545387	direct	2	2
2128881	57047768	full	1	5
2128881	60005874	direct	3	3
2128881	60244303	direct	1	1
2128881	61700805	full	1	5
2128881	63659993	full	1	5
2128881	66093650	full	2	4
2128881	69134744	full	1	5
2128881	73016220	full	0	6
2128881	73022914	full	1	5
2128881	73256165	direct	2	2
2128881	73441147	full	1	5
2128881	74565681	full	1	3
2128881	75910951	full	0	6
2128881	79294534	full	0	6
2128881	80098879	full	0	6
2128881	80747413	full	2	4
2128881	84488216	full	1	5
2128881	84632725	full	1	3
2128881	85024710	full	2	4
2186871	48260426	direct	-1	1
2186871	55908148	direct	-1	1
2332790	10109100	full	0	2
2332790	10545733	full	-1	3
2332790	19791963	full	0	2
2332790	35718378	full	-1	3
2332790	44519663	direct	1	1
2332790	56939113	full	0	2
2332790	64817435	full	-2	4
2332790	68466944	direct	1	1
2332790	68734247	full	-1	3
2332790	72330157	full	-1	3
2452856	33217231	direct	-1	1
2452856	53489394	direct	-1	1
2824054	3763287	full	1	5
2824054	3900178	direct	3	3
2824054	6525372	full	0	6
2824054	6808020	full	1	5
2824054	6874369	full	0	6
2824054	7189832	full	2	4
2824054	7959801	full	2	4
2824054	9119021	full	0	6
2824054	10462069	full	1	5
2824054	14590834	full	2	4
2824054	15580945	full	1	5
2824054	16016761	full	0	6
2824054	17601687	direct	2	2
2824054	17669879	full	0	6
2824054	17913335	direct	2	2
2824054	18602496	direct	3	3
2824054	18748396	direct	2	2
2824054	18797828	full	0	4
2824054	19162967	full	1	5
2824054	21286462	full	1	5
2824054	23383643	full	1	5
2824054	25255729	full	0	6
2824054	26261855	full	1	5
2824054	26704258	full	0	6
2824054	27585599	full	2	4
2824054	29764558	direct	1	1
2824054	29990422	full	2	4
2824054	30448695	full	2	4
2824054	30628674	full	0	4
2824054	31484389	full	0	6
2824054	31601025	full	2	4
2824054	32568872	full	1	5
2824054	33239310	full	0	4
2824054	33643728	full	1	5
2824054	33710982	full	1	5
2824054	33981752	full	1	5
2824054	34900121	full	1	5
2824054	36102155	direct	3	3
2824054	36411110	full	0	6
2824054	36457536	full	1	5
2824054	38267877	direct	2	2
2824054	39880877	full	1	5
2824054	40186358	full	0	6
2824054	41269226	full	1	5
2824054	42309593	full	2	4
2824054	43085213	full	1	5
2824054	43247606	full	1	5
2824054	43894541	full	1	5
2824054	45017237	full	1	5
2824054	45536399	full	1	5
2824054	45641273	full	1	5
2824054	46118273	full	1	3
2824054	46215383	direct	3	3
2824054	48389525	full	2	4
2824054	48828987	direct	3	3
2824054	50147320	full	2	4
2824054	50324091	full	1	5
2824054	51925748	full	1	5
2824054	53306027	full	2	4
2824054	54033541	full	1	5
2824054	58075271	full	0	6
2824054	58529856	full	1	5
2824054	58539330	full	2	4
2824054	58996915	full	2	4
2824054	59710162	direct	3	3
2824054	62175876	full	1	5
2824054	65221687	direct	3	3
2824054	66351710	full	2	4
2824054	66604406	full	1	5
2824054	66942251	full	1	5
2824054	69494224	full	1	5
2824054	71177161	full	0	6
2824054	71725780	full	1	5
2824054	72330648	full	1	5
2824054	73701333	full	2	4
2824054	73809486	full	1	5
2824054	76066015	full	2	4
2824054	76602875	full	0	6
2824054	78061369	full	1	5
2824054	78224870	full	1	5
2824054	79668033	full	1	5
2824054	79744304	full	1	5
2824054	82674919	full	2	4
2824054	82720295	full	0	6
2824054	83040108	full	1	5
2824054	83213567	full	0	6
2824054	83616655	full	1	5
2824054	84211694	direct	1	1
2824054	85252368	full	2	4
3361658	11358801	half	-2	4
3361658	12259613	direct	-1	1
3361658	13500873	unknown	-1	3
3361658	20757515	direct	1	1
3361658	23563180	half	-1	3
3361658	30811971	half	0	2
3361658	33217231	half	-1	3
3361658	36766034	full	-1	3
3361658	41078192	full	-2	4
3361658	45550932	half	0	2
3361658	48673941	full	-2	4
3361658	49196332	half	-1	3
3361658	50439237	full	-1	3
3361658	51164937	direct	-1	1
3361658	51389865	direct	-1	1
3361658	51583853	unknown	-1	3
3361658	53489394	half	-1	3
3361658	69288951	half	0	2
3361658	70223684	half	-1	3
3361658	74155431	full	0	2
3361658	75252101	half	0	2
3361658	75453071	full	-1	3
3361658	75910951	full	-2	4
3361658	83566783	full	-1	3
3496379	10357773	full	0	4
3496379	12909616	full	0	4
3496379	13686347	direct	2	2
3496379	17567842	full	0	4
3496379	18346439	full	0	2
3496379	24137242	full	0	4
3496379	24192888	direct	2	2
3496379	25036073	full	-1	5
3496379	26170831	direct	-1	1
3496379	26555372	full	0	4
3496379	32539674	full	1	3
3496379	41078192	full	-1	5
3496379	42144761	full	0	4
3496379	44570369	direct	1	1
3496379	47702028	full	-1	5
3496379	57828451	full	0	4
3496379	69134744	full	0	4
3496379	73016220	full	-1	5
3496379	73396134	direct	1	1
3496379	74477451	full	0	4
3496379	75910951	full	-1	5
3496379	76808745	full	1	3
3496379	77020157	full	0	4
3496379	85808094	full	1	3
3763287	6808020	full	0	4
3763287	9119021	full	-1	3
3763287	16016761	direct	-1	1
3763287	17669879	full	-1	3
3763287	19162967	full	0	4
3763287	26704258	full	-1	3
3763287	29764558	full	0	4
3763287	31484389	direct	-1	1
3763287	33643728	full	0	2
3763287	33710982	full	0	4
3763287	34900121	full	0	4
3763287	38267877	full	1	3
3763287	39880877	full	0	4
3763287	40186358	direct	-1	1
3763287	43247606	full	0	2
3763287	43894541	full	0	4
3763287	45017237	full	0	4
3763287	45536399	full	0	4
3763287	48389525	full	1	3
3763287	48828987	direct	2	2
3763287	49492588	direct	1	1
3763287	50147320	full	1	3
3763287	58075271	full	-1	3
3763287	58539330	full	1	3
3763287	66604406	full	0	4
3763287	71177161	full	-1	3
3763287	79744304	full	0	4
3763287	82674919	full	1	3
3763287	83040108	full	0	2
3900178	6525372	direct	-3	3
3900178	6874369	direct	-3	3
3900178	7189832	direct	-1	1
3900178	7959801	direct	-1	1
3900178	17601687	direct	-1	1
3900178	23383643	direct	-2	2
3900178	25255729	direct	-3	3
3900178	26261855	direct	-2	2
3900178	29764558	direct	-2	2
3900178	31601025	direct	-1	1
3900178	33981752	direct	-2	2
3900178	36457536	direct	-2	2
3900178	42309593	direct	-1	1
3900178	50324091	direct	-2	2
3900178	51925748	direct	-2	2
3900178	53306027	direct	-1	1
